date,time,open,high,low,close,vol
20070716,0,49850,49850,47500,48200,1853189
20070713,0,50400,50800,48850,49900,1926257
20070712,0,49100,50300,49050,49850,1229050
20070711,0,49300,49500,48750,49000,821757
20070710,0,49300,50000,48800,49850,1850076
20070709,0,48900,49550,48100,49200,1054199
20070706,0,48300,48950,47750,48900,472469
20070705,0,49050,49300,48150,48400,3306721
20070704,0,48900,49900,48400,49050,1720999
20070703,0,46600,48150,46050,47900,2493667
20070702,0,45000,46000,44250,45600,1357069
20070629,0,46000,46200,44900,45050,2467433
20070628,0,46000,46300,45700,46300,1824336
20070627,0,46250,46400,45650,45850,1183132
20070626,0,47100,47700,46200,46500,899512
20070625,0,47050,48450,46900,47500,749264
20070622,0,48800,48900,47200,47900,830201
20070621,0,48900,49050,48100,48750,1668909
20070620,0,46650,50700,46600,48800,3953000
20070619,0,46300,46650,46050,46400,1315180
20070618,0,46450,46450,45650,46050,1382138
20070615,0,46700,47000,45200,46000,1562776
20070614,0,46900,47400,46700,46950,1457553
20070613,0,46450,46700,46300,46550,1033430
20070612,0,46500,46750,46050,46350,11288417
20070611,0,47000,47150,46200,46950,899078
20070608,0,47600,47850,46400,47000,757812
20070607,0,48200,48550,47500,48000,662397
20070605,0,48000,49100,47800,48500,908879
20070604,0,47250,48200,46750,48200,1480807
20070601,0,47500,47950,47200,47600,1440886
20070531,0,47050,47050,46800,47000,667708
20070530,0,46650,47000,46400,46750,635368
20070529,0,47000,47200,46650,46650,437917
20070528,0,46300,47100,46250,46700,343172
20070525,0,46500,46900,45900,46500,574896
20070523,0,46700,47450,46500,46600,1156944
20070522,0,46100,46500,45900,46400,806653
20070521,0,46400,46750,45800,46350,837782
20070518,0,46950,47000,46300,46800,536034
20070517,0,47800,47950,46950,47400,647761
20070516,0,47100,48050,47000,47650,1277716
20070515,0,46000,47050,45950,46600,1389230
20070514,0,45700,46600,45700,45950,1500984
20070511,0,46000,46600,45700,46100,748798
20070510,0,45650,46150,45600,45750,857567
20070509,0,45100,45650,44850,45500,1369512
20070508,0,46400,46400,44900,45700,1204513
20070507,0,47000,47250,46150,46600,1159035
20070504,0,48000,48350,47250,47600,658361
20070503,0,48100,48550,47950,48200,611498
20070502,0,48500,49700,48050,48450,671679
20070430,0,50000,50100,48650,49000,453175
20070427,0,49500,50900,49050,49900,403750
20070426,0,48850,50400,48100,50200,524355
20070425,0,48300,48300,47600,47950,796703
20070424,0,49000,49500,48300,48500,486175
20070423,0,49700,49950,49550,49650,325329
20070420,0,50300,50400,49350,49650,406171
20070419,0,50300,50300,49700,49700,455454
20070418,0,50000,50800,49700,49950,590475
20070417,0,49700,49750,49100,49300,362705
20070416,0,49250,49500,49050,49400,584404
